year,month,DBAA
1993,1,8.6665
1993,2,8.393684211
1993,3,8.145652174
1993,4,8.14047619
1993,5,8.214
1993,6,8.069545455
1993,7,7.933333333
1993,8,7.595
1993,9,7.341904762
1993,10,7.312380952
1993,11,7.66047619
1993,12,7.685
1994,1,7.64952381
1994,2,7.763684211
1994,3,8.129130435
1994,4,8.522631579
1994,5,8.623809524
1994,6,8.647727273
1994,7,8.8035
1994,8,8.739565217
1994,9,8.978095238
1994,10,9.204761905
1994,11,9.315238095
1994,12,9.103333333
1995,1,9.08
1995,2,8.85
1995,3,8.701304348
1995,4,8.598947368
1995,5,8.203181818
1995,6,7.900454545
1995,7,8.0385
1995,8,8.193043478
1995,9,7.9345
1995,10,7.751363636
1995,11,7.684761905
1995,12,7.4905
1996,1,7.465909091
1996,2,7.6265
1996,3,8.036190476
1996,4,8.195909091
1996,5,8.297727273
1996,6,8.4
1996,7,8.353181818
1996,8,8.175454545
1996,9,8.345
1996,10,8.069090909
1996,11,7.787368421
1996,12,7.892857143
1997,1,8.095454545
1997,2,7.941578947
1997,3,8.1825
1997,4,8.336818182
1997,5,8.202857143
1997,6,8.02047619
1997,7,7.747272727
1997,8,7.816666667
1997,9,7.712857143
1997,10,7.571818182
1997,11,7.418888889
1997,12,7.325909091
1998,1,7.1965
1998,2,7.256315789
1998,3,7.319090909
1998,4,7.33047619
1998,5,7.2975
1998,6,7.134090909
1998,7,7.149090909
1998,8,7.143333333
1998,9,7.088095238
1998,10,7.182380952
1998,11,7.337894737
1998,12,7.226363636
1999,1,7.287894737
1999,2,7.388947368
1999,3,7.533913043
1999,4,7.479090909
1999,5,7.722
1999,6,8.015
1999,7,7.948095238
1999,8,8.154090909
1999,9,8.202380952
1999,10,8.378
1999,11,8.149047619
1999,12,8.187272727
2000,1,8.3325
2000,2,8.287
2000,3,8.367391304
2000,4,8.402105263
2000,5,8.900454545
2000,6,8.482272727
2000,7,8.3465
2000,8,8.255217391
2000,9,8.346
2000,10,8.341428571
2000,11,8.279047619
2000,12,8.023
2001,1,7.928571429
2001,2,7.873684211
2001,3,7.844090909
2001,4,8.0685
2001,5,8.071818182
2001,6,7.974761905
2001,7,7.97
2001,8,7.848695652
2001,9,8.027647059
2001,10,7.906818182
2001,11,7.813
2001,12,8.048421053
2002,1,7.86952381
2002,2,7.890526316
2002,3,8.106
2002,4,8.032727273
2002,5,8.087727273
2002,6,7.95
2002,7,7.897727273
2002,8,7.581818182
2002,9,7.396
2002,10,7.733636364
2002,11,7.617368421
2002,12,7.448571429
2003,1,7.347619048
2003,2,7.056842105
2003,3,6.949047619
2003,4,6.852857143
2003,5,6.378095238
2003,6,6.19047619
2003,7,6.616363636
2003,8,7.011904762
2003,9,6.79
2003,10,6.732727273
2003,11,6.657777778
2003,12,6.596363636
2004,1,6.442
2004,2,6.265263158
2004,3,6.114347826
2004,4,6.459047619
2004,5,6.747
2004,6,6.783809524
2004,7,6.622380952
2004,8,6.463181818
2004,9,6.268571429
2004,10,6.205
2004,11,6.203
2004,12,6.153636364
2005,1,6.0175
2005,2,5.815789474
2005,3,6.060909091
2005,4,6.049047619
2005,5,6.006190476
2005,6,5.858181818
2005,7,5.9525
2005,8,5.962173913
2005,9,6.029047619
2005,10,6.298
2005,11,6.39
2005,12,6.320952381
2006,1,6.237
2006,2,6.27
2006,3,6.411304348
2006,4,6.680526316
2006,5,6.745454545
2006,6,6.779545455
2006,7,6.762
2006,8,6.58826087
2006,9,6.43
2006,10,6.424285714
2006,11,6.203809524
2006,12,6.2185
2007,1,6.342857143
2007,2,6.275789474
2007,3,6.267727273
2007,4,6.393333333
2007,5,6.385454545
2007,6,6.697142857
2007,7,6.652380952
2007,8,6.652173913
2007,9,6.592105263
2007,10,6.479545455
2007,11,6.395
2007,12,6.6455
2008,1,6.540952381
2008,2,6.8235
2008,3,6.8925
2008,4,6.967272727
2008,5,6.929047619
2008,6,7.073809524
2008,7,7.159545455
2008,8,7.148571429
2008,9,7.311904762
2008,10,8.877272727
2008,11,9.211666667
2008,12,8.43
2009,1,8.1435
2009,2,8.084736842
2009,3,8.419545455
2009,4,8.387619048
2009,5,8.0635
2009,6,7.495
2009,7,7.087727273
2009,8,6.576190476
2009,9,6.312857143
2009,10,6.291904762
2009,11,6.319473684
2009,12,6.367727273
2010,1,6.247894737
2010,2,6.341578947
2010,3,6.274782609
2010,4,6.254545455
2010,5,6.051
2010,6,6.230454545
2010,7,6.010952381
2010,8,5.662727273
2010,9,5.658095238
2010,10,5.7155
2010,11,5.922857143
2010,12,6.096363636
2011,1,6.088
2011,2,6.147894737
2011,3,6.034782609
2011,4,6.023
2011,5,5.781428571
2011,6,5.751363636
