year,month,DGS10
1993,1,6.6000000000000005
1993,2,6.258947368421053
1993,3,5.975217391304348
1993,4,5.9695238095238095
1993,5,6.0355
1993,6,5.962727272727273
1993,7,5.805238095238095
1993,8,5.677727272727273
1993,9,5.36
1993,10,5.334
1993,11,5.724
1993,12,5.774090909090909
1994,1,5.750500000000001
1994,2,5.9731578947368416
1994,3,6.482608695652174
1994,4,6.972105263157895
1994,5,7.183333333333333
1994,6,7.101363636363636
1994,7,7.298
1994,8,7.236086956521739
1994,9,7.457142857142857
1994,10,7.744
1994,11,7.955
1994,12,7.813809523809524
1995,1,7.7795000000000005
1995,2,7.469473684210525
1995,3,7.204782608695653
1995,4,7.062631578947368
1995,5,6.632727272727274
1995,6,6.168181818181818
1995,7,6.2780000000000005
1995,8,6.488260869565217
1995,9,6.1975
1995,10,6.044761904761905
1995,11,5.93047619047619
1995,12,5.7115
1996,1,5.652380952380953
1996,2,5.8055
1996,3,6.268571428571428
1996,4,6.511363636363637
1996,5,6.736818181818182
1996,6,6.912000000000001
1996,7,6.865454545454545
1996,8,6.635454545454545
1996,9,6.832000000000001
1996,10,6.533636363636364
1996,11,6.203684210526316
1996,12,6.302380952380952
1997,1,6.579047619047619
1997,2,6.419473684210526
1997,3,6.6945
1997,4,6.885454545454545
1997,5,6.7109523809523814
1997,6,6.493809523809524
1997,7,6.220454545454545
1997,8,6.298571428571429
1997,9,6.208571428571428
1997,10,6.029545454545455
1997,11,5.875
1997,12,5.808636363636364
1998,1,5.5445
1998,2,5.574736842105263
1998,3,5.647272727272727
1998,4,5.637619047619047
1998,5,5.6525
1998,6,5.496363636363636
1998,7,5.461363636363637
1998,8,5.341904761904762
1998,9,4.806666666666667
1998,10,4.529999999999999
1998,11,4.827368421052632
1998,12,4.645
1999,1,4.722105263157895
1999,2,4.998947368421053
1999,3,5.232608695652174
1999,4,5.184545454545455
1999,5,5.539499999999999
1999,6,5.899545454545454
1999,7,5.791904761904762
1999,8,5.9390909090909085
1999,9,5.915238095238095
1999,10,6.112
1999,11,6.034
1999,12,6.275454545454545
2000,1,6.661
2000,2,6.519499999999999
2000,3,6.256521739130435
2000,4,5.990526315789474
2000,5,6.440454545454545
2000,6,6.097272727272728
2000,7,6.054
2000,8,5.826086956521739
2000,9,5.799
2000,10,5.738571428571428
2000,11,5.717142857142857
2000,12,5.2405
2001,1,5.160952380952381
2001,2,5.098947368421053
2001,3,4.885454545454546
2001,4,5.141
2001,5,5.391363636363637
2001,6,5.284285714285714
2001,7,5.236190476190477
2001,8,4.971304347826087
2001,9,4.731764705882353
2001,10,4.566818181818181
2001,11,4.6515
2001,12,5.0875
2002,1,5.035714285714286
2002,2,4.911578947368421
2002,3,5.284000000000001
2002,4,5.210909090909091
2002,5,5.164545454545455
2002,6,4.9265
2002,7,4.653181818181818
2002,8,4.257272727272727
2002,9,3.87
2002,10,3.940909090909091
2002,11,4.048421052631579
2002,12,4.032380952380952
2003,1,4.048571428571428
2003,2,3.9026315789473687
2003,3,3.8071428571428574
2003,4,3.958571428571428
2003,5,3.5690476190476192
2003,6,3.334285714285714
2003,7,3.975454545454546
2003,8,4.4452380952380945
2003,9,4.274285714285715
2003,10,4.290454545454545
2003,11,4.300000000000001
2003,12,4.267727272727273
2004,1,4.1505
2004,2,4.084210526315789
2004,3,3.826521739130435
2004,4,4.347619047619047
2004,5,4.7155000000000005
2004,6,4.733809523809524
2004,7,4.498095238095239
2004,8,4.281363636363636
2004,9,4.1257142857142854
2004,10,4.0969999999999995
2004,11,4.194
2004,12,4.2309090909090905
2005,1,4.221500000000001
2005,2,4.165263157894737
2005,3,4.497727272727273
2005,4,4.3409523809523805
2005,5,4.144285714285714
2005,6,3.998181818181818
2005,7,4.1775
2005,8,4.262608695652174
2005,9,4.199047619047619
2005,10,4.4635
2005,11,4.535
2005,12,4.467142857142857
2006,1,4.416
2006,2,4.568947368421052
2006,3,4.7239130434782615
2006,4,4.990526315789474
2006,5,5.11
2006,6,5.106363636363636
2006,7,5.0875
2006,8,4.8765217391304345
2006,9,4.718999999999999
2006,10,4.729047619047619
2006,11,4.595238095238095
2006,12,4.5645
2007,1,4.7595238095238095
2007,2,4.722631578947369
2007,3,4.5645454545454545
2007,4,4.6938095238095245
2007,5,4.746363636363636
2007,6,5.102857142857142
2007,7,5.0042857142857144
2007,8,4.674782608695652
2007,9,4.521578947368421
2007,10,4.527727272727272
2007,11,4.1485
2007,12,4.0975
2008,1,3.744285714285714
2008,2,3.7375
2008,3,3.5100000000000002
2008,4,3.675
2008,5,3.8800000000000003
2008,6,4.099523809523809
2008,7,4.007727272727273
2008,8,3.8857142857142852
2008,9,3.6861904761904762
2008,10,3.814090909090909
2008,11,3.526666666666667
2008,12,2.4163636363636365
2009,1,2.5175
2009,2,2.87
2009,3,2.819545454545455
2009,4,2.927142857142857
2009,5,3.293
2009,6,3.7218181818181817
2009,7,3.5622727272727275
2009,8,3.587142857142857
2009,9,3.401904761904762
2009,10,3.3876190476190478
2009,11,3.4026315789473687
2009,12,3.5900000000000003
2010,1,3.7331578947368427
2010,2,3.691052631578947
2010,3,3.7273913043478264
2010,4,3.8468181818181817
2010,5,3.4200000000000004
2010,6,3.2040909090909087
2010,7,3.0114285714285716
2010,8,2.6986363636363637
2010,9,2.6476190476190475
2010,10,2.54
2010,11,2.763
2010,12,3.290909090909091
2011,1,3.3939999999999997
2011,2,3.5763157894736843
2011,3,3.4143478260869564
2011,4,3.4549999999999996
2011,5,3.168571428571429
2011,6,3.002272727272727
