year,month,mydate
1992,1,384
1992,2,385
1992,3,386
1992,4,387
1992,5,388
1992,6,389
1992,7,390
1992,8,391
1992,9,392
1992,10,393
1992,11,394
1992,12,395
1993,1,396
1993,2,397
1993,3,398
1993,4,399
1993,5,400
1993,6,401
1993,7,402
1993,8,403
1993,9,404
1993,10,405
1993,11,406
1993,12,407
1994,1,408
1994,2,409
1994,3,410
1994,4,411
1994,5,412
1994,6,413
1994,7,414
1994,8,415
1994,9,416
1994,10,417
1994,11,418
1994,12,419
1995,1,420
1995,2,421
1995,3,422
1995,4,423
1995,5,424
1995,6,425
1995,7,426
1995,8,427
1995,9,428
1995,10,429
1995,11,430
1995,12,431
1996,1,432
1996,2,433
1996,3,434
1996,4,435
1996,5,436
1996,6,437
1996,7,438
1996,8,439
1996,9,440
1996,10,441
1996,11,442
1996,12,443
1997,1,444
1997,2,445
1997,3,446
1997,4,447
1997,5,448
1997,6,449
1997,7,450
1997,8,451
1997,9,452
1997,10,453
1997,11,454
1997,12,455
1998,1,456
1998,2,457
1998,3,458
1998,4,459
1998,5,460
1998,6,461
1998,7,462
1998,8,463
1998,9,464
1998,10,465
1998,11,466
1998,12,467
1999,1,468
1999,2,469
1999,3,470
1999,4,471
1999,5,472
1999,6,473
1999,7,474
1999,8,475
1999,9,476
1999,10,477
1999,11,478
1999,12,479
2000,1,480
2000,2,481
2000,3,482
2000,4,483
2000,5,484
2000,6,485
2000,7,486
2000,8,487
2000,9,488
2000,10,489
2000,11,490
2000,12,491
2001,1,492
2001,2,493
2001,3,494
2001,4,495
2001,5,496
2001,6,497
2001,7,498
2001,8,499
2001,9,500
2001,10,501
2001,11,502
2001,12,503
2002,1,504
2002,2,505
2002,3,506
2002,4,507
2002,5,508
2002,6,509
2002,7,510
2002,8,511
2002,9,512
2002,10,513
2002,11,514
2002,12,515
2003,1,516
2003,2,517
2003,3,518
2003,4,519
2003,5,520
2003,6,521
2003,7,522
2003,8,523
2003,9,524
2003,10,525
2003,11,526
2003,12,527
2004,1,528
2004,2,529
2004,3,530
2004,4,531
2004,5,532
2004,6,533
2004,7,534
2004,8,535
2004,9,536
2004,10,537
2004,11,538
2004,12,539
2005,1,540
2005,2,541
2005,3,542
2005,4,543
2005,5,544
2005,6,545
2005,7,546
2005,8,547
2005,9,548
2005,10,549
2005,11,550
2005,12,551
2006,1,552
2006,2,553
2006,3,554
2006,4,555
2006,5,556
2006,6,557
2006,7,558
2006,8,559
2006,9,560
2006,10,561
2006,11,562
2006,12,563
2007,1,564
2007,2,565
2007,3,566
2007,4,567
2007,5,568
2007,6,569
2007,7,570
2007,8,571
2007,9,572
2007,10,573
2007,11,574
2007,12,575
2008,1,576
2008,2,577
2008,3,578
2008,4,579
2008,5,580
2008,6,581
2008,7,582
2008,8,583
2008,9,584
2008,10,585
2008,11,586
2008,12,587
2009,1,588
2009,2,589
2009,3,590
2009,4,591
2009,5,592
2009,6,593
2009,7,594
2009,8,595
2009,9,596
2009,10,597
2009,11,598
2009,12,599
2010,1,600
2010,2,601
2010,3,602
2010,4,603
2010,5,604
2010,6,605
2010,7,606
2010,8,607
2010,9,608
2010,10,609
2010,11,610
2010,12,611
2011,1,612
2011,2,613
2011,3,614
2011,4,615
2011,5,616
2011,6,617
2011,7,618
2011,8,619
2011,9,620
2011,10,621
2011,11,622
2011,12,623
2012,1,624
2012,2,625
2012,3,626
2012,4,627
2012,5,628
2012,6,629
2012,7,630
2012,8,631
2012,9,632
2012,10,633
2012,11,634
2012,12,635
2013,1,636
2013,2,637
2013,3,638
2013,4,639
2013,5,640
2013,6,641
2013,7,642
2013,8,643
2013,9,644
2013,10,645
2013,11,646
2013,12,647
2014,1,648
2014,2,649
2014,3,650
2014,4,651
2014,5,652
2014,6,653
2014,7,654
2014,8,655
2014,9,656
2014,10,657
2014,11,658
2014,12,659
2015,1,660
2015,2,661
2015,3,662
2015,4,663
2015,5,664
2015,6,665
2015,7,666
2015,8,667
2015,9,668
2015,10,669
2015,11,670
2015,12,671
2016,1,672
2016,2,673
2016,3,674
2016,4,675
2016,5,676
2016,6,677
2016,7,678
2016,8,679
2016,9,680
2016,10,681
2016,11,682
2016,12,683
